OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
2141,Parc,,Annie-Montgomery,,0.2146159764081538,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de voisinage
2142,Parc,,Anjou-sur-le-Lac,,15.907289534205947,Ville de Montréal,Anjou,Arrondissement,Autre espace vert,Promenade urbaine
2143,,,Grand parc de l'Ouest,9512-000,8.844963131362608,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2144,,,Grand parc de l'Ouest,9512-000,5.705371754357329,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2145,,,Hôpital Royal Victoria,1806-006,3.9284510969421684,Institutionnel,Autre,Privé,Autre espace vert,Espace institutionnel
2146,Parc,des,Anciens-Combattants,2717-000,3.1238186811979354,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
2147,Place,,Monique-Mercure,,0.011546125207951837,Ville de Montréal,Outremont,Arrondissement,Parc d'arrondissement,Place publique
2148,Place,des,Débardeurs,,0.12292237865181053,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Place publique
2149,Parc,,Irma-Levasseur,2615-000,1.7417606356255242,Ville de Montréal,Outremont,Arrondissement,Parc d'arrondissement,Parc de quartier
2150,Place,,Oscar-Peterson,,0.5386699102755343,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Promenade urbaine
2151,Place,,Andrée-Lachapelle,,0.07851218216281343,Ville de Montréal,Le Plateau-Mont-Royal,Arrondissement,Parc d'arrondissement,Place publique
2152,Place,,Alice-Girard,2625-000,0.46387750194099636,Institutionnel,Autre,Privé,Parc d'arrondissement,Place publique
2153,Parc,du,Mont-Royal,0225-000,188.3603954710928,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,Parc métropolitain
2154,,,Grand parc de l'Ouest,9512-000,279.3921959454282,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2155,,,Grand parc de l'Ouest,9512-000,2.274804924890618,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2156,,,Grand parc de l'Ouest,9512-000,0.3398241998656648,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2157,,,Grand parc de l'Ouest,9512-000,0.42464611465132707,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
